anime_id,name,english_name,japanese_name,score,genres,primary_genre,type,episodes,aired,start_date,year,premiered,status,producers,licensors,studios,source,duration,duration_minutes,rating,rank,popularity,favorites,scored_by,members
9077,Rokudenashi Blues,UNKNOWN,ろくでなしBLUES,5.77,"Comedy, Drama, Sports",Comedy,Movie,1,"Jul 11, 1992",1992-07-11,1992.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Toei Animation,Unknown,33 min,33.0,R - 17+ (violence & profanity),9793.0,10129,3,619.0,2378
28811,Last Exile: Doyou no Asa,UNKNOWN,ラストエグザイル～金曜のヨル~（土曜の朝）,5.54,"Comedy, Sci-Fi",Comedy,Special,3,"Dec 17, 2011 to Jan 14, 2012",2011-12-17,2011.0,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,I was a Ballerina,Unknown,30 sec per ep,0.5,G - All Ages,10654.0,11400,0,294.0,1528
3136,Ochamegami Monogatari: Korokoro Pollon,Little Pollon,おちゃめ神物語コロコロポロン,7.11,Comedy,Comedy,TV,46,"May 8, 1982 to Mar 26, 1983",1982-05-08,1982.0,spring 1982,Finished Airing,UNKNOWN,UNKNOWN,Kokusai Eigasha,Manga,22 min per ep,22.0,G - All Ages,3493.0,9299,11,1549.0,3186
2153,Saint Beast: Kouin Jojishi Tenshi Tan,UNKNOWN,セイント・ビースト～光陰叙事詩天使譚～,6.3,Fantasy,Fantasy,TV,13,"Apr 4, 2007 to Jun 27, 2007",2007-04-04,2007.0,spring 2007,Finished Airing,"Avex Entertainment, Lantis, Marvelous AQL",UNKNOWN,"Tokyo Kids, Yuhodo",Mixed media,25 min per ep,25.0,PG-13 - Teens 13 or older,7415.0,7081,10,2191.0,6734
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie,ラブひな春スペシャル 〜キミサクラチルナカレ!!〜,7.18,"Adventure, Comedy, Romance",Adventure,Special,1,"Apr 2, 2001",2001-04-02,2001.0,UNKNOWN,Finished Airing,"TV Tokyo, Yomiko Advertising",Bandai Entertainment,Xebec,Manga,46 min,46.0,PG-13 - Teens 13 or older,3128.0,2850,17,31476.0,52165
2157,Koutetsushin Jeeg,UNKNOWN,鋼鉄神ジーグ,6.87,Sci-Fi,Sci-Fi,TV,13,"Apr 5, 2007 to Jul 12, 2007",2007-04-05,2007.0,spring 2007,Finished Airing,"Dynamic Planning, Kyoraku Industrial Holdings",UNKNOWN,Actas,Original,23 min per ep,23.0,PG-13 - Teens 13 or older,4527.0,7153,12,2416.0,6578
42143,Aya to Majo,Earwig and the Witch,アーヤと魔女,5.47,UNKNOWN,,Special,1,"Dec 30, 2020",2020-12-30,2020.0,UNKNOWN,Finished Airing,"NHK, NHK Enterprises",GKIDS,Studio Ghibli,Novel,1 hr 22 min,82.0,PG - Children,10874.0,5139,20,8610.0,14926
35838,Shoujo Shuumatsu Ryokou,Girls' Last Tour,少女終末旅行,8.2,"Adventure, Mystery, Sci-Fi, Slice of Life",Adventure,TV,12,"Oct 6, 2017 to Dec 22, 2017",2017-10-06,2017.0,fall 2017,Finished Airing,"AT-X, Shinchosha, Kadokawa Media House, Kadokawa",Sentai Filmworks,White Fox,Web manga,23 min per ep,23.0,PG-13 - Teens 13 or older,345.0,681,6471,122058.0,321970
221,Mezzo Forte,UNKNOWN,メゾフォルテ,6.62,"Action, Comedy, Sci-Fi, Hentai",Action,OVA,2,"May 25, 2000 to Jun 25, 2001",2000-05-25,2000.0,UNKNOWN,Finished Airing,Green Bunny,"Media Blasters, SoftCel Pictures",Arms,Original,30 min per ep,30.0,Rx - Hentai,12702.0,3720,91,14871.0,31422
2892,Hakushon Daimaou,Bob in the Bottle,ハクション大魔王,6.1,"Comedy, Fantasy",Comedy,TV,52,"Oct 5, 1969 to Sep 27, 1970",1969-10-05,1969.0,fall 1969,Finished Airing,UNKNOWN,Saban Entertainment,Tatsunoko Production,Original,24 min per ep,24.0,G - All Ages,8379.0,10533,1,889.0,2093
7808,Zukkoke Knight: Don De La Mancha,Don Quixote,ずっこけナイト　ドンデラマンチャ,5.48,"Adventure, Comedy, Romance",Adventure,TV,23,"Apr 15, 1980 to Sep 23, 1980",1980-04-15,1980.0,spring 1980,Finished Airing,"Ashi Productions, Kokusai Eigasha",UNKNOWN,UNKNOWN,Unknown,30 min per ep,30.0,G - All Ages,10828.0,13327,3,208.0,810
