id,title,original_title,overview,tagline,genres,keywords,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,original_language,poster_path,status,type,source,episodes,studios
1535,Death Note,Death Note,TV Mystery Police Psychological Supernatural Thriller 37 episodes,,"[{""name"": ""Mystery""}, {""name"": ""Police""}, {""name"": ""Psychological""}, {""name"": ""Supernatural""}, {""name"": ""Thriller""}]","[{""name"": ""Mystery""}, {""name"": ""Police""}, {""name"": ""Psychological""}, {""name"": ""Supernatural""}, {""name"": ""Thriller""}]",,1013917,1013917.0,8.71,0,,,ja,,TV,TV,,37.0,
16498,Shingeki no Kyojin,Shingeki no Kyojin,TV Action Drama Fantasy Shounen Super Power 25 episodes,,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]",,896229,896229.0,8.54,0,,,ja,,TV,TV,,25.0,
11757,Sword Art Online,Sword Art Online,TV Action Adventure Fantasy Game Romance 25 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Romance""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Fantasy""}, {""name"": ""Game""}, {""name"": ""Romance""}]",,893100,893100.0,7.83,0,,,ja,,TV,TV,,25.0,
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,TV Action Adventure Drama Fantasy Magic Military Shounen 64 episodes,,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Magic""}, {""name"": ""Military""}, {""name"": ""Shounen""}]","[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Drama""}, {""name"": ""Fantasy""}, {""name"": ""Magic""}, {""name"": ""Military""}, {""name"": ""Shounen""}]",,793665,793665.0,9.26,0,,,ja,,TV,TV,,64.0,
6547,Angel Beats!,Angel Beats!,TV Action Comedy Drama School Supernatural 13 episodes,,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""School""}, {""name"": ""Supernatural""}]","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""School""}, {""name"": ""Supernatural""}]",,717796,717796.0,8.39,0,,,ja,,TV,TV,,13.0,
1575,Code Geass: Hangyaku no Lelouch,Code Geass: Hangyaku no Lelouch,TV Action Mecha Military School Sci-Fi Super Power 25 episodes,,"[{""name"": ""Action""}, {""name"": ""Mecha""}, {""name"": ""Military""}, {""name"": ""School""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Mecha""}, {""name"": ""Military""}, {""name"": ""School""}, {""name"": ""Sci-Fi""}, {""name"": ""Super Power""}]",,715151,715151.0,8.83,0,,,ja,,TV,TV,,25.0,
20,Naruto,Naruto,TV Action Comedy Martial Arts Shounen Super Power 220 episodes,,"[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Martial Arts""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]","[{""name"": ""Action""}, {""name"": ""Comedy""}, {""name"": ""Martial Arts""}, {""name"": ""Shounen""}, {""name"": ""Super Power""}]",,683297,683297.0,7.81,0,,,ja,,TV,TV,,220.0,
9253,Steins;Gate,Steins;Gate,TV Sci-Fi Thriller 24 episodes,,"[{""name"": ""Sci-Fi""}, {""name"": ""Thriller""}]","[{""name"": ""Sci-Fi""}, {""name"": ""Thriller""}]",,673572,673572.0,9.17,0,,,ja,,TV,TV,,24.0,
10620,Mirai Nikki (TV),Mirai Nikki (TV),TV Action Mystery Psychological Shounen Supernatural Thriller 26 episodes,,"[{""name"": ""Action""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}, {""name"": ""Thriller""}]","[{""name"": ""Action""}, {""name"": ""Mystery""}, {""name"": ""Psychological""}, {""name"": ""Shounen""}, {""name"": ""Supernatural""}, {""name"": ""Thriller""}]",,657190,657190.0,8.07,0,,,ja,,TV,TV,,26.0,
4224,Toradora!,Toradora!,TV Comedy Romance School Slice of Life 25 episodes,,"[{""name"": ""Comedy""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]","[{""name"": ""Comedy""}, {""name"": ""Romance""}, {""name"": ""School""}, {""name"": ""Slice of Life""}]",,633817,633817.0,8.45,0,,,ja,,TV,TV,,25.0,
