id,title,cast,crew
1535,Death Note,[],[]
16498,Shingeki no Kyojin,[],[]
11757,Sword Art Online,[],[]
5114,Fullmetal Alchemist: Brotherhood,[],[]
6547,Angel Beats!,[],[]
1575,Code Geass: Hangyaku no Lelouch,[],[]
20,Naruto,[],[]
9253,Steins;Gate,[],[]
10620,Mirai Nikki (TV),[],[]
4224,Toradora!,[],[]
269,Bleach,[],[]
226,Elfen Lied,[],[]
22319,Tokyo Ghoul,[],[]
19815,No Game No Life,[],[]
121,Fullmetal Alchemist,[],[]
6702,Fairy Tail,[],[]
9919,Ao no Exorcist,[],[]
3588,Soul Eater,[],[]
2904,Code Geass: Hangyaku no Lelouch R2,[],[]
2167,Clannad,[],[]
2001,Tengen Toppa Gurren Lagann,[],[]
6746,Durarara!!,[],[]
30276,One Punch Man,[],[]
21881,Sword Art Online II,[],[]
8074,Highschool of the Dead,[],[]
11111,Another,[],[]
1735,Naruto: Shippuuden,[],[]
20507,Noragami,[],[]
13601,Psycho-Pass,[],[]
18679,Kill la Kill,[],[]
21,One Piece,[],[]
22199,Akame ga Kill!,[],[]
1,Cowboy Bebop,[],[]
5081,Bakemonogatari,[],[]
199,Sen to Chihiro no Kamikakushi,[],[]
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,[],[]
9756,Mahou Shoujo Madoka★Magica,[],[]
30,Neon Genesis Evangelion,[],[]
10793,Guilty Crown,[],[]
4181,Clannad: After Story,[],[]
10087,Fate/Zero,[],[]
6880,Deadman Wonderland,[],[]
2025,Darker than Black: Kuro no Keiyakusha,[],[]
849,Suzumiya Haruhi no Yuuutsu,[],[]
11061,Hunter x Hunter (2011),[],[]
22535,Kiseijuu: Sei no Kakuritsu,[],[]
4898,Kuroshitsuji,[],[]
853,Ouran Koukou Host Club,[],[]
23273,Shigatsu wa Kimi no Uso,[],[]
15809,Hataraku Maou-sama!,[],[]
27899,Tokyo Ghoul √A,[],[]
31043,Boku dake ga Inai Machi,[],[]
11617,High School DxD,[],[]
14741,Chuunibyou demo Koi ga Shitai!,[],[]
7054,Kaichou wa Maid-sama!,[],[]
205,Samurai Champloo,[],[]
17265,Log Horizon,[],[]
5680,K-On!,[],[]
28223,Death Parade,[],[]
13759,Sakurasou no Pet na Kanojo,[],[]
813,Dragon Ball Z,[],[]
356,Fate/stay night,[],[]
12189,Hyouka,[],[]
2251,Baccano!,[],[]
934,Higurashi no Naku Koro ni,[],[]
18153,Kyoukai no Kanata,[],[]
31240,Re:Zero kara Hajimeru Isekai Seikatsu,[],[]
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,[],[]
14227,Tonari no Kaibutsu-kun,[],[]
28171,Shokugeki no Souma,[],[]
18897,Nisekoi,[],[]
1195,Zero no Tsukaima,[],[]
23283,Zankyou no Terror,[],[]
11741,Fate/Zero 2nd Season,[],[]
164,Mononoke Hime,[],[]
11771,Kuroko no Basket,[],[]
918,Gintama,[],[]
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,[],[]
2966,Ookami to Koushinryou,[],[]
1482,D.Gray-man,[],[]
431,Howl no Ugoku Shiro,[],[]
889,Black Lagoon,[],[]
23755,Nanatsu no Taizai,[],[]
14345,Btooom!,[],[]
10719,Boku wa Tomodachi ga Sukunai,[],[]
11759,Accel World,[],[]
1689,Byousoku 5 Centimeter,[],[]
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,[],[]
20787,Black Bullet,[],[]
14513,Magi: The Labyrinth of Magic,[],[]
1818,Claymore,[],[]
223,Dragon Ball,[],[]
26243,Owari no Seraph,[],[]
4654,Toaru Majutsu no Index,[],[]
24833,Ansatsu Kyoushitsu (TV),[],[]
28999,Charlotte,[],[]
6045,Kimi ni Todoke,[],[]
270,Hellsing,[],[]
1887,Lucky☆Star,[],[]
227,FLCL,[],[]
15583,Date A Live,[],[]
6347,Baka to Test to Shoukanjuu,[],[]
457,Mushishi,[],[]
30503,Noragami Aragoto,[],[]
2993,Rosario to Vampire,[],[]
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,[],[]
777,Hellsing Ultimate,[],[]
355,Shakugan no Shana,[],[]
14467,K,[],[]
8841,Kore wa Zombie Desu ka?,[],[]
23289,Gekkan Shoujo Nozaki-kun,[],[]
1210,NHK ni Youkoso!,[],[]
2236,Toki wo Kakeru Shoujo,[],[]
13125,Shinsekai yori,[],[]
3457,Vampire Knight,[],[]
20785,Mahouka Koukou no Rettousei,[],[]
8525,Kami nomi zo Shiru Sekai,[],[]
20583,Haikyuu!!,[],[]
11887,Kokoro Connect,[],[]
6,Trigun,[],[]
31964,Boku no Hero Academia,[],[]
249,InuYasha,[],[]
2476,School Days,[],[]
5630,Higashi no Eden,[],[]
17895,Golden Time,[],[]
523,Tonari no Totoro,[],[]
245,Great Teacher Onizuka,[],[]
22297,Fate/stay night: Unlimited Blade Works,[],[]
59,Chobits,[],[]
15451,High School DxD New,[],[]
18507,Free!,[],[]
790,Ergo Proxy,[],[]
11597,Nisemonogatari,[],[]
14075,Zetsuen no Tempest,[],[]
11843,Danshi Koukousei no Nichijou,[],[]
1604,Katekyo Hitman Reborn!,[],[]
16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,[],[]
71,Full Metal Panic!,[],[]
22043,Fairy Tail (2014),[],[]
9041,IS: Infinite Stratos,[],[]
10165,Nichijou,[],[]
28623,Koutetsujou no Kabaneri,[],[]
7724,Shiki,[],[]
19,Monster,[],[]
7674,Bakuman.,[],[]
7791,K-On!!,[],[]
18115,Magi: The Kingdom of Magic,[],[]
30831,Kono Subarashii Sekai ni Shukufuku wo!,[],[]
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",[],[]
29803,Overlord,[],[]
22729,Aldnoah.Zero,[],[]
4382,Suzumiya Haruhi no Yuuutsu (2009),[],[]
16894,Kuroko no Basket 2nd Season,[],[]
120,Fruits Basket,[],[]
11633,Blood Lad,[],[]
7311,Suzumiya Haruhi no Shoushitsu,[],[]
237,Eureka Seven,[],[]
3455,To LOVE-Ru,[],[]
1840,Zero no Tsukaima: Futatsuki no Kishi,[],[]
2034,Lovely★Complex,[],[]
6707,Kuroshitsuji II,[],[]
14289,Sukitte Ii na yo.,[],[]
8425,Gosick,[],[]
18277,Strike the Blood,[],[]
6213,Toaru Kagaku no Railgun,[],[]
5530,Pandora Hearts,[],[]
527,Pokemon,[],[]
23281,Psycho-Pass 2,[],[]
30240,Prison School,[],[]
5958,Sora no Otoshimono,[],[]
21995,Ao Haru Ride,[],[]
225,Dragon Ball GT,[],[]
33,Berserk,[],[]
12355,Ookami Kodomo no Ame to Yuki,[],[]
22789,Barakamon,[],[]
16067,Nagi no Asukara,[],[]
5681,Summer Wars,[],[]
43,Ghost in the Shell,[],[]
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,[],[]
11499,Sankarea,[],[]
6573,Darker than Black: Ryuusei no Gemini,[],[]
24439,Kekkai Sensen,[],[]
45,Rurouni Kenshin: Meiji Kenkaku Romantan,[],[]
28497,Rokka no Yuusha,[],[]
15315,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,[],[]
1889,Higurashi no Naku Koro ni Kai,[],[]
9513,Beelzebub,[],[]
8675,Seitokai Yakuindomo,[],[]
22147,Amagi Brilliant Park,[],[]
25013,Akatsuki no Yona,[],[]
11013,Inu x Boku SS,[],[]
47,Akira,[],[]
339,Serial Experiments Lain,[],[]
23321,Log Horizon 2nd Season,[],[]
32,Neon Genesis Evangelion: The End of Evangelion,[],[]
7593,Kiss x Sis (TV),[],[]
14967,Boku wa Tomodachi ga Sukunai Next,[],[]
27775,Plastic Memories,[],[]
31859,Hai to Gensou no Grimgar,[],[]
3712,Zero no Tsukaima: Princesses no Rondo,[],[]
25183,Gangsta.,[],[]
4081,Natsume Yuujinchou,[],[]
5341,Ookami to Koushinryou II,[],[]
18671,Chuunibyou demo Koi ga Shitai! Ren,[],[]
25157,Trinity Seven,[],[]
150,Blood+,[],[]
6594,Katanagatari,[],[]
28701,Fate/stay night: Unlimited Blade Works 2nd Season,[],[]
17074,Monogatari Series: Second Season,[],[]
1691,Kaze no Stigma,[],[]
4214,Rosario to Vampire Capu2,[],[]
7088,Ichiban Ushiro no Daimaou,[],[]
1519,Black Lagoon: The Second Barrage,[],[]
30015,ReLIFE,[],[]
15225,Hentai Ouji to Warawanai Neko.,[],[]
28297,Ore Monogatari!!,[],[]
32281,Kimi no Na wa.,[],[]
11285,Black★Rock Shooter (TV),[],[]
21603,Mekakucity Actors,[],[]
4752,Vampire Knight Guilty,[],[]
31798,Kiznaiver,[],[]
10408,Hotarubi no Mori e,[],[]
877,Nana,[],[]
392,Yuu☆Yuu☆Hakusho,[],[]
10162,Usagi Drop,[],[]
13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,[],[]
857,Air Gear,[],[]
2759,Evangelion: 1.0 You Are (Not) Alone,[],[]
467,Ghost in the Shell: Stand Alone Complex,[],[]
10080,Kami nomi zo Shiru Sekai II,[],[]
29786,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,[],[]
32182,Mob Psycho 100,[],[]
28677,Yamada-kun to 7-nin no Majo (TV),[],[]
7817,B Gata H Kei,[],[]
27631,God Eater,[],[]
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,[],[]
10110,Mayo Chiki!,[],[]
24703,High School DxD BorN,[],[]
14719,JoJo no Kimyou na Bouken (TV),[],[]
28927,Owari no Seraph: Nagoya Kessen-hen,[],[]
16782,Kotonoha no Niwa,[],[]
14713,Kamisama Hajimemashita,[],[]
23199,Durarara!!x2 Shou,[],[]
6956,Working!!,[],[]
101,Air,[],[]
30296,Rakudai Kishi no Cavalry,[],[]
31478,Bungou Stray Dogs,[],[]
430,Fullmetal Alchemist: The Conqueror of Shamballa,[],[]
19163,Date A Live II,[],[]
32282,Shokugeki no Souma: Ni no Sara,[],[]
24415,Kuroko no Basket 3rd Season,[],[]
2787,Shakugan no Shana II (Second),[],[]
8937,Toaru Majutsu no Index II,[],[]
8516,Baka to Test to Shoukanjuu Ni!,[],[]
4063,Sekirei,[],[]
3784,Evangelion: 2.0 You Can (Not) Advance,[],[]
552,Digimon Adventure,[],[]
30307,Monster Musume no Iru Nichijou,[],[]
232,Cardcaptor Sakura,[],[]
27787,Nisekoi:,[],[]
10790,Kore wa Zombie Desu ka? of the Dead,[],[]
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",[],[]
28891,Haikyuu!! Second Season,[],[]
2593,Kara no Kyoukai 1: Fukan Fuukei,[],[]
24,School Rumble,[],[]
17729,Grisaia no Kajitsu,[],[]
30654,Ansatsu Kyoushitsu (TV) 2nd Season,[],[]
578,Hotaru no Haka,[],[]
2605,Sayonara Zetsubou Sensei,[],[]
4975,ChäoS;HEAd,[],[]
11319,Zero no Tsukaima F,[],[]
3470,Special A,[],[]
15689,Nekomonogatari: Kuro,[],[]
8861,"Yosuga no Sora: In Solitude, Where We Are Least Alone.",[],[]
228,Jigoku Shoujo,[],[]
12445,Tasogare Otome x Amnesia,[],[]
23233,Shinmai Maou no Testament,[],[]
8630,Hidan no Aria,[],[]
9656,Kimi ni Todoke 2nd Season,[],[]
202,Wolf&#039;s Rain,[],[]
32542,Sakamoto desu ga?,[],[]
16011,Tokyo Ravens,[],[]
72,Full Metal Panic? Fumoffu,[],[]
66,Azumanga Daioh,[],[]
16524,Suisei no Gargantia,[],[]
25777,Shingeki no Kyojin Season 2,[],[]
11433,Ano Natsu de Matteru,[],[]
12549,"Dakara Boku wa, H ga Dekinai.",[],[]
154,Shaman King,[],[]
25397,Absolute Duo,[],[]
30544,Gakusen Toshi Asterisk,[],[]
31442,Musaigen no Phantom World,[],[]
10161,No.6,[],[]
1726,Devil May Cry,[],[]
136,Hunter x Hunter,[],[]
32729,Orange,[],[]
384,Gantz,[],[]
2104,Seto no Hanayome,[],[]
20853,Hitsugi no Chaika,[],[]
14833,Maoyuu Maou Yuusha,[],[]
1943,Paprika,[],[]
1530,Kanon (2006),[],[]
7647,Arakawa Under the Bridge,[],[]
31580,Ajin,[],[]
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",[],[]
21431,Gokukoku no Brynhildr,[],[]
21405,Bokura wa Minna Kawaisou,[],[]
10863,Steins;Gate: Oukoubakko no Poriomania,[],[]
9367,Freezing,[],[]
5682,Phantom: Requiem for the Phantom,[],[]
79,Shuffle!,[],[]
10800,Chihayafuru,[],[]
28825,Himouto! Umaru-chan,[],[]
263,Hajime no Ippo,[],[]
8795,Panty &amp; Stocking with Garterbelt,[],[]
30123,Akagami no Shirayuki-hime,[],[]
8676,Amagami SS,[],[]
1698,Nodame Cantabile,[],[]
10163,C: The Money of Soul and Possibility Control,[],[]
10721,Mawaru Penguindrum,[],[]
189,Love Hina,[],[]
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,[],[]
13161,Hagure Yuusha no Aesthetica,[],[]
23277,Saenai Heroine no Sodatekata,[],[]
73,Full Metal Panic! The Second Raid,[],[]
15051,Love Live! School Idol Project,[],[]
11785,Haiyore! Nyaruko-san,[],[]
20031,D-Frag!,[],[]
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",[],[]
28249,Arslan Senki (TV),[],[]
512,Majo no Takkyuubin,[],[]
12293,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,[],[]
1686,Bleach Movie 1: Memories of Nobody,[],[]
10030,Bakuman. 2nd Season,[],[]
9969,Gintama&#039;,[],[]
2924,ef: A Tale of Memories.,[],[]
513,Tenkuu no Shiro Laputa,[],[]
861,xxxHOLiC,[],[]
22265,Free!: Eternal Summer,[],[]
68,Black Cat,[],[]
9289,Hanasaku Iroha,[],[]
9379,Denpa Onna to Seishun Otoko,[],[]
27655,Aldnoah.Zero 2nd Season,[],[]
57,Beck,[],[]
10495,Yuru Yuri,[],[]
18247,IS: Infinite Stratos 2,[],[]
25835,Shirobako,[],[]
8407,Sora no Otoshimono: Forte,[],[]
6205,Kämpfer,[],[]
12531,Sakamichi no Apollon,[],[]
10396,Ben-To,[],[]
530,Bishoujo Senshi Sailor Moon,[],[]
7769,Ookami-san to Shichinin no Nakama-tachi,[],[]
6500,Seikon no Qwaser,[],[]
31636,Dagashi Kashi,[],[]
23673,Ookami Shoujo to Kuro Ouji,[],[]
4725,Ga-Rei: Zero,[],[]
5060,Hetalia Axis Powers,[],[]
25159,Inou-Battle wa Nichijou-kei no Naka de,[],[]
21843,Shingeki no Bahamut: Genesis,[],[]
572,Kaze no Tani no Nausicaä,[],[]
16706,Kami nomi zo Shiru Sekai: Megami-hen,[],[]
6512,Nyan Koi!,[],[]
60,Chrno Crusade,[],[]
32998,91 Days,[],[]
9515,Highschool of the Dead: Drifters of the Dead,[],[]
2890,Gake no Ue no Ponyo,[],[]
24765,Gakkougurashi!,[],[]
21327,Isshuukan Friends.,[],[]
6114,Rainbow: Nisha Rokubou no Shichinin,[],[]
9062,Angel Beats! Specials,[],[]
317,Final Fantasy VII: Advent Children,[],[]
13655,Little Busters!,[],[]
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",[],[]
323,Mousou Dairinin,[],[]
5,Cowboy Bebop: Tengoku no Tobira,[],[]
12413,Jormungand,[],[]
16049,Toaru Kagaku no Railgun S,[],[]
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,[],[]
17247,Machine-Doll wa Kizutsukanai,[],[]
3731,Itazura na Kiss,[],[]
7338,Darker than Black: Kuro no Keiyakusha Gaiden,[],[]
13663,To LOVE-Ru Darkness,[],[]
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,[],[]
1292,Afro Samurai,[],[]
16762,Mirai Nikki Redial,[],[]
3785,Evangelion: 3.0 You Can (Not) Redo,[],[]
11703,Code:Breaker,[],[]
9181,Motto To LOVE-Ru,[],[]
10588,Persona 4 the Animation,[],[]
4722,Skip Beat!,[],[]
2889,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,[],[]
177,Tsubasa Chronicle,[],[]
27989,Hibike! Euphonium,[],[]
15085,Amnesia,[],[]
10067,Angel Beats!: Another Epilogue,[],[]
6682,11eyes,[],[]
12365,Bakuman. 3rd Season,[],[]
20689,Hamatora The Animation,[],[]
17549,Non Non Biyori,[],[]
20541,Mikakunin de Shinkoukei,[],[]
11933,Oda Nobuna no Yabou,[],[]
6773,Shakugan no Shana III (Final),[],[]
27831,Durarara!!x2 Ten,[],[]
481,Yu☆Gi☆Oh! Duel Monsters,[],[]
19369,Outbreak Company,[],[]
8086,Densetsu no Yuusha no Densetsu,[],[]
7059,Black★Rock Shooter (OVA),[],[]
16,Hachimitsu to Clover,[],[]
10568,Kamisama no Memochou,[],[]
2026,Hayate no Gotoku!,[],[]
31163,Dimension W,[],[]
8424,MM!,[],[]
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,[],[]
1559,Shijou Saikyou no Deshi Kenichi,[],[]
32105,Sousei no Onmyouji,[],[]
64,Rozen Maiden,[],[]
16417,Tamako Market,[],[]
12291,Acchi Kocchi (TV),[],[]
19429,Akuma no Riddle,[],[]
61,D.N.Angel,[],[]
4896,Umineko no Naku Koro ni,[],[]
15037,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,[],[]
1571,Ghost Hunt,[],[]
5525,07-Ghost,[],[]
5042,Kiss x Sis,[],[]
2418,Stranger: Mukou Hadan,[],[]
1222,Bokura ga Ita,[],[]
21855,Hanamonogatari,[],[]
22877,Seirei Tsukai no Blade Dance,[],[]
15379,Kotoura-san,[],[]
20057,Space☆Dandy,[],[]
5356,Canaan,[],[]
7592,Nurarihyon no Mago,[],[]
22145,Kuroshitsuji: Book of Circus,[],[]
7785,Yojouhan Shinwa Taikei,[],[]
4835,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,[],[]
3503,Kanokon,[],[]
26349,Danna ga Nani wo Itteiru ka Wakaranai Ken,[],[]
16009,Kamisama no Inai Nichiyoubi,[],[]
20021,Sword Art Online: Extra Edition,[],[]
6211,Tokyo Magnitude 8.0,[],[]
2923,Shugo Chara!,[],[]
18397,Shingeki no Kyojin OVA,[],[]
6747,Dance in the Vampire Bund,[],[]
387,Haibane Renmei,[],[]
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,[],[]
2581,Mobile Suit Gundam 00,[],[]
1313,Digimon Adventure 02,[],[]
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,[],[]
6324,Omamori Himari,[],[]
2129,True Tears,[],[]
10490,Blood-C,[],[]
