movieId,title,genres
1,Cowboy Bebop (2000),Animation
2,Cowboy Bebop: Tengoku no Tobira (2000),Animation
3,Trigun (2000),Animation
4,Witch Hunter Robin (2000),Animation
5,Beet the Vandel Buster (2000),Animation
6,Eyeshield 21 (2000),Animation
7,Hachimitsu to Clover (2000),Animation
8,Hungry Heart: Wild Striker (2000),Animation
9,Initial D Fourth Stage (2000),Animation
10,Monster (2000),Animation
11,Naruto (2000),Animation
12,Prince of Tennis (2000),Animation
13,School Rumble (2000),Animation
14,Sunabouzu (2000),Animation
15,Texhnolyze (2000),Animation
16,Trinity Blood (2000),Animation
17,Yakitate!! Japan (2000),Animation
18,Zipang (2000),Animation
19,Neon Genesis Evangelion (2000),Animation
20,Neon Genesis Evangelion: Death &amp; Rebirth (2000),Animation
21,Neon Genesis Evangelion: The End of Evangelion (2000),Animation
22,Berserk (2000),Animation
23,Ghost in the Shell (2000),Animation
24,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen (2000),Animation
25,Rurouni Kenshin: Meiji Kenkaku Romantan (2000),Animation
26,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka (2000),Animation
27,Akira (2000),Animation
28,.hack//Sign (2000),Animation
29,Aa! Megami-sama! (2000),Animation
30,Aa! Megami-sama! (TV) (2000),Animation
31,Tenshi Kinryouku (2000),Animation
32,Kidou Tenshi Angelic Layer (2000),Animation
33,Ai Yori Aoshi (2000),Animation
34,Appleseed (Movie) (2000),Animation
35,Arc the Lad (2000),Animation
36,Avenger (2000),Animation
37,Beck (2000),Animation
38,Blue Gender (2000),Animation
39,Chobits (2000),Animation
40,Chrno Crusade (2000),Animation
41,D.N.Angel (2000),Animation
42,D.C.: Da Capo (2000),Animation
43,DearS (2000),Animation
44,Rozen Maiden (2000),Animation
45,Rozen Maiden: Träumend (2000),Animation
46,Azumanga Daioh (2000),Animation
47,Basilisk: Kouga Ninpou Chou (2000),Animation
48,Black Cat (2000),Animation
49,Cluster Edge (2000),Animation
50,Full Metal Panic! (2000),Animation
51,Full Metal Panic? Fumoffu (2000),Animation
52,Full Metal Panic! The Second Raid (2000),Animation
53,Gakuen Alice (2000),Animation
54,Soukyuu no Fafner: Dead Aggressor (2000),Animation
55,Mahou Shoujo Lyrical Nanoha (2000),Animation
56,Mahou Shoujo Lyrical Nanoha A&#039;s (2000),Animation
57,Shuffle! (2000),Animation
58,Mobile Suit Gundam (2000),Animation
59,Mobile Suit Gundam: The 08th MS Team (2000),Animation
60,Mobile Suit Gundam 0080: War in the Pocket (2000),Animation
61,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report (2000),Animation
62,Mobile Suit Gundam 0083: Stardust Memory (2000),Animation
63,Mobile Suit Zeta Gundam (2000),Animation
64,Mobile Suit Gundam ZZ (2000),Animation
65,Mobile Suit Gundam: Char&#039;s Counterattack (2000),Animation
66,Mobile Suit Gundam F91 (2000),Animation
67,Mobile Suit Victory Gundam (2000),Animation
68,Mobile Suit Gundam Wing (2000),Animation
69,Mobile Suit Gundam Wing: Endless Waltz (2000),Animation
70,After War Gundam X (2000),Animation
71,Mobile Suit Gundam Seed (2000),Animation
72,Mobile Suit Gundam Seed Destiny (2000),Animation
73,Turn A Gundam (2000),Animation
74,Mobile Fighter G Gundam (2000),Animation
75,Last Exile (2000),Animation
76,Mai-HiME (2000),Animation
77,Mai-Otome (2000),Animation
78,Shin Shirayuki-hime Densetsu Prétear (2000),Animation
79,Air (2000),Animation
80,Aishiteruze Baby★★ (2000),Animation
81,Akazukin Chacha (2000),Animation
82,Ayashi no Ceres (2000),Animation
83,Boys Be... (2000),Animation
84,Hana yori Dango (2000),Animation
85,Ou Dorobou Jing (2000),Animation
86,Ou Dorobou Jing in Seventh Heaven (2000),Animation
87,Bakuretsu Tenshi (2000),Animation
88,Chuuka Ichiban! (2000),Animation
89,Corrector Yui (2000),Animation
90,Chou Henshin Cosprayers (2000),Animation
91,Uchuu no Stellvia (2000),Animation
92,Sakigake!! Cromartie Koukou (2000),Animation
93,El Hazard: The Alternative World (2000),Animation
94,El Hazard: The Wanderers (2000),Animation
95,El Hazard: The Magnificent World (2000),Animation
96,El Hazard 2: The Magnificent World (2000),Animation
97,Final Approach (2000),Animation
98,Fruits Basket (2000),Animation
99,Fullmetal Alchemist (2000),Animation
