id,title,budget,revenue,runtime,popularity,release_date,original_language,status,genres
9077,Rokudenashi Blues,1,2378,33.0,3.0,1992-07-11,ja,Movie,"Comedy, Drama, Sports"
28811,Last Exile: Doyou no Asa,3,1528,0.5,0.0,2011-12-17,ja,Special,"Comedy, Sci-Fi"
3136,Little Pollon,46,3186,22.0,11.0,1982-05-08,ja,TV,Comedy
2153,Saint Beast: Kouin Jojishi Tenshi Tan,13,6734,25.0,10.0,2007-04-04,ja,TV,Fantasy
192,Love Hina Spring Movie,1,52165,46.0,17.0,2001-04-02,ja,Special,"Adventure, Comedy, Romance"
2157,Koutetsushin Jeeg,13,6578,23.0,12.0,2007-04-05,ja,TV,Sci-Fi
42143,Earwig and the Witch,1,14926,82.0,20.0,2020-12-30,ja,Special,UNKNOWN
35838,Girls' Last Tour,12,321970,23.0,6471.0,2017-10-06,ja,TV,"Adventure, Mystery, Sci-Fi, Slice of Life"
221,Mezzo Forte,2,31422,30.0,91.0,2000-05-25,ja,OVA,"Action, Comedy, Sci-Fi, Hentai"
2892,Bob in the Bottle,52,2093,24.0,1.0,1969-10-05,ja,TV,"Comedy, Fantasy"
7808,Don Quixote,23,810,30.0,3.0,1980-04-15,ja,TV,"Adventure, Comedy, Romance"
7857,Mini Sengoku Basara: Chousokabe-kun to Mouri-kun,7,5268,6.0,5.0,2009-07-01,ja,Special,Comedy
17573,Uchuu Kyoudai: Itten no Hikari,1,5347,38.0,2.0,2012-07-21,ja,Movie,"Comedy, Sci-Fi, Slice of Life"
10313,Dallos Special,1,1034,89.0,0.0,1985-05-08,ja,OVA,Sci-Fi
13421,Wheels,1,724,3.0,0.0,2000-01-01,ja,Special,Comedy
3553,Legend of Lyon Flare,2,1713,28.0,3.0,1986-07-14,ja,OVA,"Action, Fantasy, Hentai"
2723,D4 Princess,24,3183,8.0,2.0,1999-04-06,ja,TV,"Action, Comedy, Sci-Fi"
44881,I’m Standing on a Million Lives Season 2,12,149182,23.0,615.0,2021-07-10,ja,TV,"Drama, Fantasy"
42822,Dr. Ramune -Mysterious Disease Specialist-,12,68064,23.0,302.0,2021-01-10,ja,TV,"Mystery, Supernatural"
1080,Yukikaze,5,18613,37.0,177.0,2002-08-25,ja,OVA,"Action, Award Winning, Drama, Sci-Fi, Suspense"
50474,The Faraway Paladin: Michiyuki,1,10516,23.0,39.0,2021-11-27,ja,Special,"Action, Adventure, Fantasy"
3888,The Invisible Stud,2,9355,27.0,26.0,2006-02-10,ja,OVA,Hentai
27927,Urawa no Usagi-chan,12,17015,3.0,8.0,2015-04-10,ja,TV,Comedy
49357,Star Wars: Visions,9,86083,15.0,380.0,2021-09-22,ja,ONA,"Action, Adventure, Sci-Fi"
38573,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,12,271866,23.0,461.0,2019-07-13,ja,TV,"Adventure, Comedy, Fantasy, Ecchi"
30705,makuranodanshi,12,41476,4.0,56.0,2015-07-14,ja,TV,Slice of Life
47638,A.A,1,228,9.0,0.0,2010-10-27,ja,Music,Avant Garde
30443,Kana Kana Kazoku: Shinnen no Goaisatsu,1,379,0.8,0.0,2015-01-07,ja,ONA,Comedy
23101,With the Date,1,6708,30.0,5.0,2014-06-27,ja,OVA,Hentai
39056,Mirai Koushi Harima SACLA NEX RAY,1,630,2.0,0.0,2017-10-12,ja,ONA,Sci-Fi
3661,Joker: Marginal City,1,1704,36.0,1.0,1992-04-21,ja,OVA,"Action, Romance, Sci-Fi"
34863,Touken Ranbu: Hanamaru 2,12,28486,24.0,139.0,2018-01-08,ja,TV,"Action, Comedy, Drama, Fantasy, Slice of Life"
2246,Mononoke,12,309241,22.0,7775.0,2007-07-13,ja,TV,"Fantasy, Horror, Mystery, Supernatural"
10845,Manyuu Hikenchou Specials,8,15500,3.0,42.0,2011-10-04,ja,Special,"Action, Ecchi"
26303,Cello Hiki no Gauche (OVA),1,521,20.0,0.0,1998-01-01,ja,OVA,"Drama, Fantasy"
162,Pita-Ten,26,23271,24.0,85.0,2002-04-07,ja,TV,"Comedy, Fantasy, Romance"
10581,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,1,6687,3.0,3.0,1992-01-01,ja,Special,"Action, Drama, Sci-Fi"
29363,Watashi no Ashinaga Ojisan Specials,2,655,45.0,0.0,2001-05-01,ja,Special,"Comedy, Romance, Slice of Life"
29861,Channel 5.5 3rd Season Prologue,1,561,3.0,0.0,2014-07-01,ja,ONA,Comedy
1922,Urusei Yatsura Movie 3: Remember My Love,1,8100,95.0,9.0,1985-01-26,ja,Movie,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi"
2118,Captain Tsubasa: Europe Daikessen,1,5997,42.0,2.0,1985-07-13,ja,Movie,Sports
41035,Melty Land Nightmare,1,723,4.0,1.0,2018-02-16,ja,Music,UNKNOWN
12143,Swing Out Sisters,1,16150,30.0,63.0,2011-11-25,ja,OVA,Hentai
38349,Wotakoi: Love is Hard for Otaku OVA,3,193612,23.0,471.0,2019-03-29,ja,OVA,Romance
6978,The Monster Of Frankenstein,1,1854,89.0,3.0,1981-07-27,ja,Special,"Drama, Horror, Sci-Fi"
4003,Dream Hunter Rem,4,8215,40.0,19.0,1985-12-15,ja,OVA,"Action, Fantasy, Mystery, Ecchi"
40921,Urashimasakatasen no Nichijou Special,1,845,4.0,1.0,2020-02-26,ja,Special,Comedy
2622,Big Wars,1,2968,71.0,5.0,1993-09-25,ja,OVA,"Action, Sci-Fi"
31108,Green Dakara x Bakemono no Ko,2,4093,0.2,6.0,2015-06-24,ja,ONA,UNKNOWN
9922,We Without Wings – Under the Innocent Sky,12,86403,24.0,172.0,2011-04-04,ja,TV,"Comedy, Drama, Romance, Ecchi"
38610,Magical Sempai,12,265320,12.0,456.0,2019-07-02,ja,TV,"Comedy, Ecchi"
13673,Otome Nadeshiko Koi Techou,1,5165,10.0,2.0,2012-01-26,ja,OVA,UNKNOWN
40786,Skate-Leading Stars,12,39941,23.0,148.0,2021-01-10,ja,TV,Sports
21729,Cardfight!! Vanguard Legion Mate,33,15563,24.0,36.0,2014-03-09,ja,TV,Action
51561,Dilemma,1,527,2.0,5.0,2022-03-09,ja,Music,UNKNOWN
3391,Miss Machiko,95,3765,25.0,10.0,1981-10-08,ja,TV,"Comedy, Ecchi"
32521,Super Mario World: Mario to Yoshi no Bouken Land,1,1571,27.0,5.0,1991-01-01,ja,OVA,Comedy
